t_	V_m_	I_Stim_	d_dVdt_	I_Na_	I_CaL_	I_Ca_junc_	I_Ca_sl_	I_Kur_	I_to_	I_Kr_	I_Kss_	I_K1_	I_NCX_	I_Cap_	I_Nak_	I_Nab_	I_Cab_	I_Cl_	J_SERCA_	J_SRCarel_	J_SRleak_	RyR_O_	RyR_R_	RyR_I_	RyR_RI_	Ca_junc_	Ca_sl_	Ca_i_	Ca_sr_	Na_junc_	Na_sl_	Na_myo_	K_i_	CaMKII_junc_	Phos_LCC_CK_	Phos_RyR_CK_	Phos_PLB_CK_
12.000000	-41.218974	0.000000	-2.738646	-0.054382	-2.005722	-1.956584	-0.049138	0.986587	1.469834	0.258077	1.655835	0.270206	-0.407832	0.049735	0.296095	-0.128035	-0.086104	0.423822	0.118638	70.139707	3.826795	0.008641	0.178127	0.037626	0.775606	98.059723	2.056631	0.138527	423.904648	11.619184	11.618980	11.618970	135.000000	119.943477	78.160464	23.959707	1.559193
13.000000	-43.793767	0.000000	-2.384812	-0.033037	-1.455845	-1.430285	-0.025560	0.820088	0.925451	0.244561	1.521035	0.326784	-0.441993	0.050311	0.291489	-0.131416	-0.087793	0.349064	0.136608	56.644255	3.746073	0.007319	0.123610	0.048595	0.820476	81.753396	2.268956	0.147670	400.820877	11.619223	11.619012	11.619001	135.000000	119.921761	78.195163	23.966767	1.559926
14.000000	-46.095519	0.000000	-2.175753	-0.020503	-1.119562	-1.104291	-0.015271	0.707622	0.634232	0.232652	1.416113	0.376345	-0.460643	0.050509	0.287732	-0.134015	-0.089504	0.290874	0.146152	45.923959	3.725094	0.005924	0.092124	0.054522	0.847430	66.176304	2.374318	0.153259	383.138980	11.619263	11.619048	11.619035	135.000000	119.890268	78.224993	23.972844	1.560556
15.000000	-48.204470	0.000000	-2.021276	-0.012383	-0.866409	-0.856808	-0.009601	0.614524	0.442402	0.220643	1.319028	0.427010	-0.473445	0.050584	0.284082	-0.136421	-0.091263	0.240423	0.152399	37.679390	3.709382	0.004842	0.073451	0.057020	0.864687	54.194133	2.417591	0.156710	369.719454	11.619304	11.619086	11.619072	135.000000	119.847609	78.254909	23.978946	1.561189
16.000000	-50.170357	0.000000	-1.901580	-0.007401	-0.673347	-0.666986	-0.006361	0.536299	0.314175	0.208707	1.229023	0.478435	-0.482615	0.050596	0.280515	-0.138671	-0.092987	0.197251	0.156632	31.652335	3.691235	0.004058	0.061895	0.057489	0.876559	45.450948	2.426046	0.158927	359.351988	11.619346	11.619126	11.619112	135.000000	119.795146	78.284751	23.985041	1.561822
17.000000	-52.023553	0.000000	-1.803447	-0.004444	-0.524451	-0.520033	-0.004418	0.469658	0.226641	0.196923	1.145206	0.530329	-0.489495	0.050572	0.277008	-0.140797	-0.094648	0.159931	0.159629	27.242648	3.670691	0.003494	0.054474	0.056788	0.885244	39.084697	2.414869	0.160417	351.141858	11.619391	11.619168	11.619153	135.000000	119.734402	78.314512	23.991126	1.562453
18.000000	-53.782738	0.000000	-1.699387	-0.002417	-0.384186	-0.381230	-0.002956	0.399300	0.153505	0.182510	1.048197	0.595123	-0.496023	0.050512	0.272689	-0.143310	-0.096627	0.119554	0.162292	23.282948	3.643515	0.003080	0.049588	0.055418	0.891913	34.373455	2.392337	0.161457	344.478033	11.619436	11.619211	11.619196	135.000000	119.649299	78.351598	23.998720	1.563242
19.000000	-55.459769	0.000000	-1.625579	-0.001546	-0.299548	-0.297333	-0.002215	0.351467	0.113819	0.171302	0.976244	0.646132	-0.500102	0.050449	0.269281	-0.145219	-0.098133	0.091096	0.163842	20.957801	3.621624	0.002771	0.046335	0.053666	0.897228	30.812239	2.362982	0.162200	338.948711	11.619483	11.619256	11.619240	135.000000	119.575768	78.381170	24.004783	1.563872
20.000000	-57.062380	0.000000	-1.546759	-0.000978	-0.224404	-0.222775	-0.001629	0.303765	0.081433	0.158731	0.898604	0.703294	-0.503863	0.050363	0.265382	-0.147331	-0.099801	0.061387	0.165180	18.892816	3.597206	0.002533	0.044178	0.051706	0.901583	28.055828	2.329310	0.162726	334.273219	11.619531	11.619302	11.619286	135.000000	119.486095	78.415347	24.011800	1.564600
21.000000	-58.595794	0.000000	-1.494087	-0.000739	-0.182954	-0.181624	-0.001330	0.274365	0.064738	0.150157	0.847269	0.741727	-0.506007	0.050296	0.262667	-0.148761	-0.100930	0.042153	0.165892	17.726907	3.580720	0.002346	0.042786	0.049642	0.905226	25.871259	2.292777	0.163083	330.256739	11.619580	11.619349	11.619332	135.000000	119.420666	78.439413	24.016746	1.565114
22.000000	-60.063534	0.000000	-1.418104	-0.000513	-0.134624	-0.133626	-0.000998	0.235940	0.046346	0.137811	0.775351	0.795229	-0.508507	0.050186	0.258659	-0.150815	-0.102555	0.015558	0.166663	16.301754	3.557515	0.002195	0.041942	0.047541	0.908322	24.100428	2.254274	0.163302	326.761432	11.619630	11.619397	11.619380	135.000000	119.320256	78.475398	24.024153	1.565884
23.000000	-61.467859	0.000000	-1.368683	-0.000418	-0.109707	-0.108875	-0.000832	0.213622	0.037329	0.129944	0.730612	0.827451	-0.509729	0.050108	0.256036	-0.152125	-0.103595	-0.000855	0.167007	15.514023	3.543129	0.002070	0.041503	0.045445	0.910982	22.633396	2.214386	0.163401	323.687489	11.619681	11.619446	11.619429	135.000000	119.252153	78.499313	24.029081	1.566396
24.000000	-62.810014	0.000000	-1.295283	-0.000319	-0.080710	-0.080068	-0.000642	0.184397	0.027242	0.118713	0.668040	0.869506	-0.510922	0.049983	0.252188	-0.154004	-0.105094	-0.023727	0.167303	14.511215	3.523219	0.001965	0.041368	0.043381	0.913287	21.393228	2.173536	0.163394	320.961287	11.619733	11.619496	11.619478	135.000000	119.148654	78.535071	24.036458	1.567163
25.000000	-64.090397	0.000000	-1.246297	-0.000272	-0.065783	-0.065239	-0.000544	0.167408	0.022223	0.111620	0.629212	0.892780	-0.511301	0.049894	0.249687	-0.155200	-0.106054	-0.037900	0.167370	13.934737	3.511051	0.001874	0.041467	0.041366	0.915294	20.325072	2.132044	0.163294	318.527519	11.619785	11.619546	11.619528	135.000000	119.078857	78.558833	24.041367	1.567673
26.000000	-65.308706	0.000000	-1.144307	-0.000204	-0.043276	-0.042881	-0.000395	0.137869	0.014881	0.098082	0.556392	0.927118	-0.511062	0.049701	0.244745	-0.157506	-0.107925	-0.064485	0.167224	12.920963	3.488770	0.001794	0.041748	0.039411	0.917047	19.389216	2.090170	0.163110	316.343776	11.619838	11.619597	11.619579	135.000000	118.933645	78.607391	24.051413	1.568718
27.000000	-66.464107	0.000000	-1.092114	-0.000178	-0.035183	-0.034842	-0.000341	0.125426	0.012296	0.091834	0.523277	0.937098	-0.510442	0.049599	0.242383	-0.158585	-0.108811	-0.076578	0.167026	12.480707	3.478925	0.001723	0.042174	0.037524	0.918579	18.556703	2.048130	0.162851	314.377125	11.619891	11.619649	11.619630	135.000000	118.859883	78.631573	24.056424	1.569239
28.000000	-67.555393	0.000000	-1.039124	-0.000158	-0.028540	-0.028246	-0.000294	0.114325	0.010207	0.085935	0.492261	0.942184	-0.509487	0.049493	0.240103	-0.159613	-0.109664	-0.087900	0.166754	12.072625	3.469911	0.001658	0.042718	0.035707	0.919917	17.806424	2.006106	0.162525	312.601729	11.619944	11.619700	11.619682	135.000000	118.785266	78.655691	24.061427	1.569760
29.000000	-68.581249	0.000000	-0.985257	-0.000141	-0.023216	-0.022960	-0.000257	0.104436	0.008538	0.080386	0.463281	0.942449	-0.508212	0.049383	0.237911	-0.160590	-0.110484	-0.098465	0.166414	11.694283	3.461689	0.001599	0.043358	0.033963	0.921080	17.122565	1.964255	0.162139	310.996723	11.619997	11.619753	11.619734	135.000000	118.709631	78.679743	24.066421	1.570279
30.000000	-69.540467	0.000000	-0.875715	-0.000113	-0.015451	-0.015252	-0.000199	0.087819	0.006102	0.070324	0.411163	0.929428	-0.504725	0.049153	0.233816	-0.162385	-0.112022	-0.117378	0.165557	11.007627	3.447497	0.001544	0.044078	0.032292	0.922086	16.492865	1.922711	0.161700	309.544905	11.620051	11.619805	11.619787	135.000000	118.554838	78.727651	24.076383	1.571316
31.000000	-70.432185	0.000000	-0.839150	-0.000108	-0.013507	-0.013323	-0.000184	0.083121	0.005495	0.067284	0.395514	0.921499	-0.503301	0.049073	0.232548	-0.162935	-0.112502	-0.123017	0.165226	10.796706	3.443423	0.001492	0.044867	0.030693	0.922949	15.908220	1.881587	0.161214	308.232148	11.620104	11.619857	11.619839	135.000000	118.502298	78.743489	24.079682	1.571659
32.000000	-71.256080	0.000000	-0.789853	-0.000100	-0.011299	-0.011132	-0.000166	0.077343	0.004795	0.063406	0.375615	0.908319	-0.501176	0.048963	0.230910	-0.163639	-0.113127	-0.130145	0.164746	10.523506	3.438391	0.001443	0.045713	0.029165	0.923679	15.361570	1.840978	0.160687	307.046632	11.620156	11.619910	11.619891	135.000000	118.430257	78.764841	24.084132	1.572123
33.000000	-72.012552	0.000000	-0.716767	-0.000091	-0.008685	-0.008541	-0.000144	0.069776	0.003958	0.058067	0.348332	0.884024	-0.497574	0.048793	0.228617	-0.164616	-0.114014	-0.139810	0.163961	10.135701	3.431825	0.001397	0.046610	0.027706	0.924286	14.847386	1.800961	0.160123	305.978253	11.620208	11.619962	11.619944	135.000000	118.319738	78.796770	24.090793	1.572816
34.000000	-72.702765	0.000000	-0.645636	-0.000083	-0.006722	-0.006596	-0.000126	0.063365	0.003316	0.053272	0.323947	0.855551	-0.493507	0.048617	0.226526	-0.165500	-0.114841	-0.148294	0.163107	9.770878	3.426380	0.001353	0.047553	0.026315	0.924779	14.361354	1.761601	0.159527	305.018366	11.620260	11.620014	11.619996	135.000000	118.205981	78.828575	24.097438	1.573508
35.000000	-73.328674	0.000000	-0.577455	-0.000076	-0.005248	-0.005136	-0.000112	0.057942	0.002820	0.048983	0.302246	0.824311	-0.489015	0.048434	0.224633	-0.166293	-0.115610	-0.155665	0.162192	9.425989	3.421995	0.001311	0.048536	0.024989	0.925164	13.900050	1.722948	0.158903	304.159455	11.620311	11.620066	11.620048	135.000000	118.088675	78.860258	24.104067	1.574199
36.000000	-73.892968	0.000000	-0.534073	-0.000073	-0.004475	-0.004371	-0.000105	0.054804	0.002553	0.046386	0.289159	0.802608	-0.485806	0.048309	0.223480	-0.166773	-0.116092	-0.160000	0.161552	9.205925	3.419632	0.001270	0.049555	0.023726	0.925449	13.460716	1.685043	0.158256	303.394919	11.620362	11.620117	11.620099	135.000000	118.008353	78.881310	24.108477	1.574658
37.000000	-74.398966	0.000000	-0.465451	-0.000070	-0.003464	-0.003370	-0.000094	0.050261	0.002192	0.042445	0.269412	0.765597	-0.480058	0.048093	0.221725	-0.167500	-0.116850	-0.166327	0.160428	8.851494	3.416615	0.001231	0.050608	0.022523	0.925637	13.041111	1.647915	0.157587	302.718905	11.620412	11.620168	11.620150	135.000000	117.869074	78.916616	24.115881	1.575430
38.000000	-74.850478	0.000000	-0.418261	-0.000068	-0.002895	-0.002808	-0.000087	0.047398	0.001979	0.039830	0.256394	0.738331	-0.475524	0.047927	0.220563	-0.167979	-0.117374	-0.170316	0.159556	8.599216	3.415113	0.001194	0.051693	0.021378	0.925735	12.639391	1.611585	0.156900	302.126179	11.620461	11.620218	11.620201	135.000000	117.761752	78.942822	24.121384	1.576003
39.000000	-75.251643	0.000000	-0.370545	-0.000064	-0.002407	-0.002326	-0.000081	0.044689	0.001788	0.037239	0.243590	0.709301	-0.470332	0.047740	0.219420	-0.168449	-0.117914	-0.174053	0.158569	8.332713	3.414162	0.001157	0.052808	0.020289	0.925746	12.254021	1.576069	0.156198	301.612027	11.620509	11.620268	11.620251	135.000000	117.640196	78.971503	24.127414	1.576632
40.000000	-75.606779	0.000000	-0.327217	-0.000063	-0.002030	-0.001954	-0.000076	0.042372	0.001633	0.034912	0.232190	0.681665	-0.464950	0.047549	0.218405	-0.168864	-0.118418	-0.177183	0.157555	8.076459	3.413907	0.001122	0.053950	0.019253	0.925674	11.883709	1.541373	0.155484	301.172171	11.620556	11.620317	11.620300	135.000000	117.514622	79.000073	24.133429	1.577259
41.000000	-75.920239	0.000000	-0.288232	-0.000063	-0.001738	-0.001666	-0.000072	0.040390	0.001507	0.032820	0.222038	0.655724	-0.459410	0.047353	0.217507	-0.169230	-0.118890	-0.179774	0.156518	7.829699	3.414317	0.001088	0.055120	0.018268	0.925524	11.527356	1.507503	0.154758	300.802706	11.620603	11.620365	11.620348	135.000000	117.384852	79.028530	24.139427	1.577884
42.000000	-76.196294	0.000000	-0.253443	-0.000061	-0.001511	-0.001443	-0.000068	0.038691	0.001403	0.030935	0.212986	0.631651	-0.453739	0.047152	0.216715	-0.169553	-0.119334	-0.181890	0.155460	7.591787	3.415360	0.001055	0.056316	0.017331	0.925298	11.184018	1.474455	0.154024	300.500049	11.620648	11.620413	11.620396	135.000000	117.250721	79.056872	24.145409	1.578508
43.000000	-76.439034	0.000000	-0.222617	-0.000060	-0.001336	-0.001270	-0.000065	0.037233	0.001317	0.029230	0.204900	0.609516	-0.447966	0.046947	0.216018	-0.169836	-0.119752	-0.183593	0.154384	7.362160	3.417007	0.001023	0.057537	0.016441	0.924999	10.852873	1.442225	0.153283	300.260894	11.620693	11.620460	11.620443	135.000000	117.112069	79.085098	24.151373	1.579130
